run_id	name	value	game_sim_settings
98	totalHealthy	146	"{\"DesiredNumShoppers\":50,\"DesiredNumContagious\":5,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
98	totalExposed	569	"{\"DesiredNumShoppers\":50,\"DesiredNumContagious\":5,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
47	totalHealthy	145	"{\"DesiredNumShoppers\":40,\"DesiredNumContagious\":5,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
47	totalExposed	524	"{\"DesiredNumShoppers\":40,\"DesiredNumContagious\":5,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
99	totalHealthy	129	"{\"DesiredNumShoppers\":60,\"DesiredNumContagious\":5,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
99	totalExposed	561	"{\"DesiredNumShoppers\":60,\"DesiredNumContagious\":5,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
107	totalHealthy	304	"{\"DesiredNumShoppers\":40,\"DesiredNumContagious\":2,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
107	totalExposed	417	"{\"DesiredNumShoppers\":40,\"DesiredNumContagious\":2,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
110	totalHealthy	129	"{\"DesiredNumShoppers\":20,\"DesiredNumContagious\":3,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
110	totalExposed	216	"{\"DesiredNumShoppers\":20,\"DesiredNumContagious\":3,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
96	totalHealthy	92	"{\"DesiredNumShoppers\":30,\"DesiredNumContagious\":5,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
96	totalExposed	410	"{\"DesiredNumShoppers\":30,\"DesiredNumContagious\":5,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
43	totalHealthy	212	"{\"DesiredNumShoppers\":50,\"DesiredNumContagious\":4,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
43	totalExposed	545	"{\"DesiredNumShoppers\":50,\"DesiredNumContagious\":4,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
5	totalHealthy	173	"{\"DesiredNumShoppers\":20,\"DesiredNumContagious\":2,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
5	totalExposed	209	"{\"DesiredNumShoppers\":20,\"DesiredNumContagious\":2,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
31	totalHealthy	279	"{\"DesiredNumShoppers\":30,\"DesiredNumContagious\":2,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
31	totalExposed	298	"{\"DesiredNumShoppers\":30,\"DesiredNumContagious\":2,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
100	totalHealthy	238	"{\"DesiredNumShoppers\":20,\"DesiredNumContagious\":1,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
100	totalExposed	183	"{\"DesiredNumShoppers\":20,\"DesiredNumContagious\":1,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
18	totalHealthy	172	"{\"DesiredNumShoppers\":50,\"DesiredNumContagious\":4,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
18	totalExposed	540	"{\"DesiredNumShoppers\":50,\"DesiredNumContagious\":4,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
70	totalHealthy	60	"{\"DesiredNumShoppers\":20,\"DesiredNumContagious\":5,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
70	totalExposed	266	"{\"DesiredNumShoppers\":20,\"DesiredNumContagious\":5,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
27	totalHealthy	488	"{\"DesiredNumShoppers\":40,\"DesiredNumContagious\":1,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
27	totalExposed	269	"{\"DesiredNumShoppers\":40,\"DesiredNumContagious\":1,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
61	totalHealthy	189	"{\"DesiredNumShoppers\":30,\"DesiredNumContagious\":3,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
61	totalExposed	366	"{\"DesiredNumShoppers\":30,\"DesiredNumContagious\":3,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
75	totalHealthy	240	"{\"DesiredNumShoppers\":20,\"DesiredNumContagious\":1,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
75	totalExposed	188	"{\"DesiredNumShoppers\":20,\"DesiredNumContagious\":1,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
17	totalHealthy	172	"{\"DesiredNumShoppers\":40,\"DesiredNumContagious\":4,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
17	totalExposed	524	"{\"DesiredNumShoppers\":40,\"DesiredNumContagious\":4,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
26	totalHealthy	373	"{\"DesiredNumShoppers\":30,\"DesiredNumContagious\":1,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
26	totalExposed	227	"{\"DesiredNumShoppers\":30,\"DesiredNumContagious\":1,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
120	totalHealthy	42	"{\"DesiredNumShoppers\":20,\"DesiredNumContagious\":5,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
120	totalExposed	256	"{\"DesiredNumShoppers\":20,\"DesiredNumContagious\":5,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
46	totalHealthy	79	"{\"DesiredNumShoppers\":30,\"DesiredNumContagious\":5,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
46	totalExposed	418	"{\"DesiredNumShoppers\":30,\"DesiredNumContagious\":5,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
78	totalHealthy	473	"{\"DesiredNumShoppers\":50,\"DesiredNumContagious\":1,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
78	totalExposed	322	"{\"DesiredNumShoppers\":50,\"DesiredNumContagious\":1,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
77	totalHealthy	454	"{\"DesiredNumShoppers\":40,\"DesiredNumContagious\":1,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
77	totalExposed	296	"{\"DesiredNumShoppers\":40,\"DesiredNumContagious\":1,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
89	totalHealthy	246	"{\"DesiredNumShoppers\":60,\"DesiredNumContagious\":3,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
89	totalExposed	533	"{\"DesiredNumShoppers\":60,\"DesiredNumContagious\":3,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
118	totalHealthy	180	"{\"DesiredNumShoppers\":50,\"DesiredNumContagious\":4,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
118	totalExposed	554	"{\"DesiredNumShoppers\":50,\"DesiredNumContagious\":4,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
